Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaísOrigen,Ventas
2005,Enero,Volkswagen , Sharan , Camiones ligeros , Minivans , Importado , Portugal,81
2005,Enero,Volkswagen , Sport Van , Automóviles , Compactos , Importado , Argentina,-
2005,Enero,Volkswagen , Sportwagen , Automóviles , Compactos , Nacional , México,-
2005,Enero,Volkswagen , Tcross, Camiones ligeros , SUV's , Importado , Brasil,-
2005,Enero,Volkswagen , Teramont , Camiones ligeros , SUV's , Importado , Estados Unidos,-
2005,Enero,Volkswagen , Tiguan , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Enero,Volkswagen , Tiguan, Camiones ligeros , SUV's , Nacional , México,-
2005,Enero,Volkswagen , Touareg , Camiones ligeros , SUV's , Importado , Eslovaquia,53
2005,Enero,Volkswagen , Transporter Carga , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Enero,Volkswagen , Transporter Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Enero,Volkswagen , UP! , Automóviles , Subcompactos , Importado , Brasil,-
2005,Enero,Volkswagen , Vento , Automóviles , Subcompactos , Importado , India,-
2005,Enero,Volkswagen , Virtus , Automóviles , Subcompactos , Importado , Brasil,-
2005,Enero,Volkswagen , Volkswagen Caddy , Camiones ligeros , Pick Ups , Importado , Polonia,-
2005,Enero,Volkswagen , Vw Van , Camiones ligeros , Pick Ups , Importado , Argentina,144
2005,Febrero,Volkswagen , Amarok , Camiones ligeros , Pick Ups , Importado , Argentina,-
2005,Febrero,Volkswagen , Beetle , Automóviles , Compactos , Nacional , México,269
2005,Febrero,Volkswagen , Beetle Cabrio , Automóviles , Compactos , Nacional , México,24
2005,Febrero,Volkswagen , Bora , Automóviles , Compactos , Nacional , México,929
2005,Febrero,Volkswagen , Bora TDI , Automóviles , Compactos , Nacional , México,-
2005,Febrero,Volkswagen , Crafter , Camiones ligeros , Pick Ups , Importado , Alemania,-
2005,Febrero,Volkswagen , Crossfox , Automóviles , Subcompactos , Importado , Brasil,-
2005,Febrero,Volkswagen , Derby , Automóviles , Subcompactos , Importado , Argentina,1005
2005,Febrero,Volkswagen , EOS , Automóviles , De Lujo , Importado , Alemania,-
2005,Febrero,Volkswagen , Eurovan Carga , Camiones ligeros , SUV's , Importado , Alemania,217
2005,Febrero,Volkswagen , Eurovan Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,56
2005,Febrero,Volkswagen , Gol , Automóviles , Subcompactos , Importado , Brasil,-
2005,Febrero,Volkswagen , Gol Sedan , Automóviles , Subcompactos , Importado , Brasil,-
2005,Febrero,Volkswagen , Golf , Automóviles , Compactos , Importado , Brasil,196
2005,Febrero,Volkswagen , Golf, Automóviles , Compactos , Nacional , México,-
2005,Febrero,Volkswagen , Golf Gti , Automóviles , Deportivos , Importado , Alemania,14
2005,Febrero,Volkswagen , Golf Variant, Automóviles ,Compactos,Nacional,México,-
2005,Febrero,Volkswagen , Jetta , Automóviles , Compactos , Nacional , México,-
2005,Febrero,Volkswagen , Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Febrero,Volkswagen , Jetta 4 PTAS , Automóviles , Compactos , Nacional , México,2606
2005,Febrero,Volkswagen , Lupo 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,220
2005,Febrero,Volkswagen , Lupo 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,1232
2005,Febrero,Volkswagen , Nuevo Jetta , Automóviles , Compactos , Nacional , México,-
2005,Febrero,Volkswagen , Nuevo Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Febrero,Volkswagen , Otros Volkswagen , Camiones ligeros , SUV's , Nacional , México,-
2005,Febrero,Volkswagen , Passat , Automóviles , De Lujo , Importado , Estados Unidos,69
2005,Febrero,Volkswagen , Passat Cc , Automóviles , De Lujo , Importado , Estados Unidos,-
2005,Febrero,Volkswagen , Pointer Pick Up , Camiones ligeros , Pick Ups , Importado , Brasil,213
2005,Febrero,Volkswagen , Pointer Wagon , Automóviles , Compactos , Importado , Brasil,195
2005,Febrero,Volkswagen , Pointer 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,437
2005,Febrero,Volkswagen , Pointer 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,4479
2005,Febrero,Volkswagen , Polo GTI , Automóviles , Subcompactos , Importado , España,-
2005,Febrero,Volkswagen , Polo 4 Ptas , Automóviles , Subcompactos , Importado , India,1003
2005,Febrero,Volkswagen , Polo 5 Ptas , Automóviles , Subcompactos , Importado , Brasil,52
2005,Febrero,Volkswagen , Routan , Camiones ligeros , Minivans , Importado , Canadá,-
2005,Febrero,Volkswagen , Saveiro , Camiones ligeros , Pick Ups , Importado , Brasil,-
2005,Febrero,Volkswagen , Sedan , Automóviles , Subcompactos , Nacional , México,1
2005,Febrero,Volkswagen , Sharan , Camiones ligeros , Minivans , Importado , Portugal,99
2005,Febrero,Volkswagen , Sport Van , Automóviles , Compactos , Importado , Argentina,-
2005,Febrero,Volkswagen , Sportwagen , Automóviles , Compactos , Nacional , México,-
2005,Febrero,Volkswagen , Tcross, Camiones ligeros , SUV's , Importado , Brasil,-
2005,Febrero,Volkswagen , Teramont , Camiones ligeros , SUV's , Importado , Estados Unidos,-
2005,Febrero,Volkswagen , Tiguan , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Febrero,Volkswagen , Tiguan, Camiones ligeros , SUV's , Nacional , México,-
2005,Febrero,Volkswagen , Touareg , Camiones ligeros , SUV's , Importado , Eslovaquia,74
2005,Febrero,Volkswagen , Transporter Carga , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Febrero,Volkswagen , Transporter Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Febrero,Volkswagen , UP! , Automóviles , Subcompactos , Importado , Brasil,-
2005,Febrero,Volkswagen , Vento , Automóviles , Subcompactos , Importado , India,-
2005,Febrero,Volkswagen , Virtus , Automóviles , Subcompactos , Importado , Brasil,-
2005,Febrero,Volkswagen , Volkswagen Caddy , Camiones ligeros , Pick Ups , Importado , Polonia,-
2005,Febrero,Volkswagen , Vw Van , Camiones ligeros , Pick Ups , Importado , Argentina,138
2005,Marzo,Volkswagen , Amarok , Camiones ligeros , Pick Ups , Importado , Argentina,-
2005,Marzo,Volkswagen , Beetle , Automóviles , Compactos , Nacional , México,241
2005,Marzo,Volkswagen , Beetle Cabrio , Automóviles , Compactos , Nacional , México,28
2005,Marzo,Volkswagen , Bora , Automóviles , Compactos , Nacional , México,1316
2005,Marzo,Volkswagen , Bora TDI , Automóviles , Compactos , Nacional , México,-
2005,Marzo,Volkswagen , Crafter , Camiones ligeros , Pick Ups , Importado , Alemania,-
2005,Marzo,Volkswagen , Crossfox , Automóviles , Subcompactos , Importado , Brasil,-
2005,Marzo,Volkswagen , Derby , Automóviles , Subcompactos , Importado , Argentina,1085
2005,Marzo,Volkswagen , EOS , Automóviles , De Lujo , Importado , Alemania,-
2005,Marzo,Volkswagen , Eurovan Carga , Camiones ligeros , SUV's , Importado , Alemania,203
2005,Marzo,Volkswagen , Eurovan Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,84
2005,Marzo,Volkswagen , Gol , Automóviles , Subcompactos , Importado , Brasil,-
2005,Marzo,Volkswagen , Gol Sedan , Automóviles , Subcompactos , Importado , Brasil,-
2005,Marzo,Volkswagen , Golf , Automóviles , Compactos , Importado , Brasil,178
2005,Marzo,Volkswagen , Golf,Automóviles,Compactos,Nacional,México,-
2005,Marzo,Volkswagen , Golf Gti , Automóviles , Deportivos , Importado , Alemania,17
2005,Marzo,Volkswagen , Golf Variant, Automóviles ,Compactos,Nacional,México,-
2005,Marzo,Volkswagen , Jetta , Automóviles , Compactos , Nacional , México,-
2005,Marzo,Volkswagen , Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Marzo,Volkswagen , Jetta 4 PTAS , Automóviles , Compactos , Nacional , México,2592
2005,Marzo,Volkswagen , Lupo 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,137
2005,Marzo,Volkswagen , Lupo 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,1006
2005,Marzo,Volkswagen , Nuevo Jetta , Automóviles , Compactos , Nacional , México,-
2005,Marzo,Volkswagen , Nuevo Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Marzo,Volkswagen , Otros Volkswagen , Camiones ligeros , SUV's , Nacional , México,-
2005,Marzo,Volkswagen , Passat , Automóviles , De Lujo , Importado , Estados Unidos,69
2005,Marzo,Volkswagen , Passat Cc , Automóviles , De Lujo , Importado , Estados Unidos,-
2005,Marzo,Volkswagen , Pointer Pick Up , Camiones ligeros , Pick Ups , Importado , Brasil,206
2005,Marzo,Volkswagen , Pointer Wagon , Automóviles , Compactos , Importado , Brasil,188
2005,Marzo,Volkswagen , Pointer 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,528
2005,Marzo,Volkswagen , Pointer 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,3824
2005,Marzo,Volkswagen , Polo GTI , Automóviles , Subcompactos , Importado , España,-
2005,Marzo,Volkswagen , Polo 4 Ptas , Automóviles , Subcompactos , Importado , India,921
2005,Marzo,Volkswagen , Polo 5 Ptas , Automóviles , Subcompactos , Importado , Brasil,65
2005,Marzo,Volkswagen , Routan , Camiones ligeros , Minivans , Importado , Canadá,-
2005,Marzo,Volkswagen , Saveiro , Camiones ligeros , Pick Ups , Importado , Brasil,-
2005,Marzo,Volkswagen , Sedan , Automóviles , Subcompactos , Nacional , México,-
2005,Marzo,Volkswagen , Sharan , Camiones ligeros , Minivans , Importado , Portugal,92
2005,Marzo,Volkswagen , Sport Van , Automóviles , Compactos , Importado , Argentina,-
2005,Marzo,Volkswagen , Sportwagen , Automóviles , Compactos , Nacional , México,-
2005,Marzo,Volkswagen , Tcross, Camiones ligeros , SUV's , Importado , Brasil,-
2005,Marzo,Volkswagen , Teramont , Camiones ligeros , SUV's , Importado , Estados Unidos,-
2005,Marzo,Volkswagen , Tiguan , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Marzo,Volkswagen , Tiguan, Camiones ligeros , SUV's , Nacional , México,-
2005,Marzo,Volkswagen , Touareg , Camiones ligeros , SUV's , Importado , Eslovaquia,61
2005,Marzo,Volkswagen , Transporter Carga , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Marzo,Volkswagen , Transporter Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Marzo,Volkswagen , UP! , Automóviles , Subcompactos , Importado , Brasil,-
2005,Marzo,Volkswagen , Vento , Automóviles , Subcompactos , Importado , India,-
2005,Marzo,Volkswagen , Virtus , Automóviles , Subcompactos , Importado , Brasil,-
2005,Marzo,Volkswagen , Volkswagen Caddy , Camiones ligeros , Pick Ups , Importado , Polonia,-
2005,Marzo,Volkswagen , Vw Van , Camiones ligeros , Pick Ups , Importado , Argentina,124
2005,Abril,Volkswagen , Amarok , Camiones ligeros , Pick Ups , Importado , Argentina,-
2005,Abril,Volkswagen , Beetle , Automóviles , Compactos , Nacional , México,333
2005,Abril,Volkswagen , Beetle Cabrio , Automóviles , Compactos , Nacional , México,25
2005,Abril,Volkswagen , Bora , Automóviles , Compactos , Nacional , México,1450
2005,Abril,Volkswagen , Bora TDI , Automóviles , Compactos , Nacional , México,-
2005,Abril,Volkswagen , Crafter , Camiones ligeros , Pick Ups , Importado , Alemania,-
2005,Abril,Volkswagen , Crossfox , Automóviles , Subcompactos , Importado , Brasil,-
2005,Abril,Volkswagen , Derby , Automóviles , Subcompactos , Importado , Argentina,1103
2005,Abril,Volkswagen , EOS , Automóviles , De Lujo , Importado , Alemania,-
2005,Abril,Volkswagen , Eurovan Carga , Camiones ligeros , SUV's , Importado , Alemania,204
2005,Abril,Volkswagen , Eurovan Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,74
2005,Abril,Volkswagen , Gol , Automóviles , Subcompactos , Importado , Brasil,-
2005,Abril,Volkswagen , Gol Sedan , Automóviles , Subcompactos , Importado , Brasil,-
2005,Abril,Volkswagen , Golf , Automóviles , Compactos , Importado , Brasil,162
2005,Abril,Volkswagen , Golf,Automóviles,Compactos,Nacional,México,-
2005,Abril,Volkswagen , Golf Gti , Automóviles , Deportivos , Importado , Alemania,14
2005,Abril,Volkswagen , Golf Variant, Automóviles ,Compactos,Nacional,México,-
2005,Abril,Volkswagen , Jetta , Automóviles , Compactos , Nacional , México,-
2005,Abril,Volkswagen , Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Abril,Volkswagen , Jetta 4 PTAS , Automóviles , Compactos , Nacional , México,2351
2005,Abril,Volkswagen , Lupo 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,159
2005,Abril,Volkswagen , Lupo 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,767
2005,Abril,Volkswagen , Nuevo Jetta , Automóviles , Compactos , Nacional , México,-
2005,Abril,Volkswagen , Nuevo Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Abril,Volkswagen , Otros Volkswagen , Camiones ligeros , SUV's , Nacional , México,-
2005,Abril,Volkswagen , Passat , Automóviles , De Lujo , Importado , Estados Unidos,63
2005,Abril,Volkswagen , Passat Cc , Automóviles , De Lujo , Importado , Estados Unidos,-
2005,Abril,Volkswagen , Pointer Pick Up , Camiones ligeros , Pick Ups , Importado , Brasil,225
2005,Abril,Volkswagen , Pointer Wagon , Automóviles , Compactos , Importado , Brasil,183
2005,Abril,Volkswagen , Pointer 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,395
2005,Abril,Volkswagen , Pointer 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,3259
2005,Abril,Volkswagen , Polo GTI , Automóviles , Subcompactos , Importado , España,-
2005,Abril,Volkswagen , Polo 4 Ptas , Automóviles , Subcompactos , Importado , India,750
2005,Abril,Volkswagen , Polo 5 Ptas , Automóviles , Subcompactos , Importado , Brasil,60
2005,Abril,Volkswagen , Routan , Camiones ligeros , Minivans , Importado , Canadá,-
2005,Abril,Volkswagen , Saveiro , Camiones ligeros , Pick Ups , Importado , Brasil,-
2005,Abril,Volkswagen , Sedan , Automóviles , Subcompactos , Nacional , México,-
2005,Abril,Volkswagen , Sharan , Camiones ligeros , Minivans , Importado , Portugal,85
2005,Abril,Volkswagen , Sport Van , Automóviles , Compactos , Importado , Argentina,-
2005,Abril,Volkswagen , Sportwagen , Automóviles , Compactos , Nacional , México,-
2005,Abril,Volkswagen , Tcross, Camiones ligeros , SUV's , Importado , Brasil,-
2005,Abril,Volkswagen , Teramont , Camiones ligeros , SUV's , Importado , Estados Unidos,-
2005,Abril,Volkswagen , Tiguan , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Abril,Volkswagen , Tiguan, Camiones ligeros , SUV's , Nacional , México,-
2005,Abril,Volkswagen , Touareg , Camiones ligeros , SUV's , Importado , Eslovaquia,54
2005,Abril,Volkswagen , Transporter Carga , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Abril,Volkswagen , Transporter Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Abril,Volkswagen , UP! , Automóviles , Subcompactos , Importado , Brasil,-
2005,Abril,Volkswagen , Vento , Automóviles , Subcompactos , Importado , India,-
2005,Abril,Volkswagen , Virtus , Automóviles , Subcompactos , Importado , Brasil,-
2005,Abril,Volkswagen , Volkswagen Caddy , Camiones ligeros , Pick Ups , Importado , Polonia,-
2005,Abril,Volkswagen , Vw Van , Camiones ligeros , Pick Ups , Importado , Argentina,209
2005,Mayo,Volkswagen , Amarok , Camiones ligeros , Pick Ups , Importado , Argentina,-
2005,Mayo,Volkswagen , Beetle , Automóviles , Compactos , Nacional , México,273
2005,Mayo,Volkswagen , Beetle Cabrio , Automóviles , Compactos , Nacional , México,39
2005,Mayo,Volkswagen , Bora , Automóviles , Compactos , Nacional , México,1464
2005,Mayo,Volkswagen , Bora TDI , Automóviles , Compactos , Nacional , México,-
2005,Mayo,Volkswagen , Crafter , Camiones ligeros , Pick Ups , Importado , Alemania,-
2005,Mayo,Volkswagen , Crossfox , Automóviles , Subcompactos , Importado , Brasil,-
2005,Mayo,Volkswagen , Derby , Automóviles , Subcompactos , Importado , Argentina,953
2005,Mayo,Volkswagen , EOS , Automóviles , De Lujo , Importado , Alemania,-
2005,Mayo,Volkswagen , Eurovan Carga , Camiones ligeros , SUV's , Importado , Alemania,256
2005,Mayo,Volkswagen , Eurovan Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,109
2005,Mayo,Volkswagen , Gol , Automóviles , Subcompactos , Importado , Brasil,-
2005,Mayo,Volkswagen , Gol Sedan , Automóviles , Subcompactos , Importado , Brasil,-
2005,Mayo,Volkswagen , Golf , Automóviles , Compactos , Importado , Brasil,142
2005,Mayo,Volkswagen , Golf,Automóviles,Compactos,Nacional,México,-
2005,Mayo,Volkswagen , Golf Gti , Automóviles , Deportivos , Importado , Alemania,3
2005,Mayo,Volkswagen , Golf Variant, Automóviles ,Compactos,Nacional,México,-
2005,Mayo,Volkswagen , Jetta , Automóviles , Compactos , Nacional , México,-
2005,Mayo,Volkswagen , Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Mayo,Volkswagen , Jetta 4 PTAS , Automóviles , Compactos , Nacional , México,2290
2005,Mayo,Volkswagen , Lupo 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,133
2005,Mayo,Volkswagen , Lupo 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,680
2005,Mayo,Volkswagen , Nuevo Jetta , Automóviles , Compactos , Nacional , México,-
2005,Mayo,Volkswagen , Nuevo Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Mayo,Volkswagen , Otros Volkswagen , Camiones ligeros , SUV's , Nacional , México,-
2005,Mayo,Volkswagen , Passat , Automóviles , De Lujo , Importado , Estados Unidos,61
2005,Mayo,Volkswagen , Passat Cc , Automóviles , De Lujo , Importado , Estados Unidos,-
2005,Mayo,Volkswagen , Pointer Pick Up , Camiones ligeros , Pick Ups , Importado , Brasil,237
2005,Mayo,Volkswagen , Pointer Wagon , Automóviles , Compactos , Importado , Brasil,164
2005,Mayo,Volkswagen , Pointer 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,359
2005,Mayo,Volkswagen , Pointer 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,3151
2005,Mayo,Volkswagen , Polo GTI , Automóviles , Subcompactos , Importado , España,-
2005,Mayo,Volkswagen , Polo 4 Ptas , Automóviles , Subcompactos , Importado , India,607
2005,Mayo,Volkswagen , Polo 5 Ptas , Automóviles , Subcompactos , Importado , Brasil,61
2005,Mayo,Volkswagen , Routan , Camiones ligeros , Minivans , Importado , Canadá,-
2005,Mayo,Volkswagen , Saveiro , Camiones ligeros , Pick Ups , Importado , Brasil,-
2005,Mayo,Volkswagen , Sedan , Automóviles , Subcompactos , Nacional , México,-
2005,Mayo,Volkswagen , Sharan , Camiones ligeros , Minivans , Importado , Portugal,67
2005,Mayo,Volkswagen , Sport Van , Automóviles , Compactos , Importado , Argentina,-
2005,Mayo,Volkswagen , Sportwagen , Automóviles , Compactos , Nacional , México,-
2005,Mayo,Volkswagen , Tcross, Camiones ligeros , SUV's , Importado , Brasil,-
2005,Mayo,Volkswagen , Teramont , Camiones ligeros , SUV's , Importado , Estados Unidos,-
2005,Mayo,Volkswagen , Tiguan , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Mayo,Volkswagen , Tiguan, Camiones ligeros , SUV's , Nacional , México,-
2005,Mayo,Volkswagen , Touareg , Camiones ligeros , SUV's , Importado , Eslovaquia,50
2005,Mayo,Volkswagen , Transporter Carga , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Mayo,Volkswagen , Transporter Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Mayo,Volkswagen , UP! , Automóviles , Subcompactos , Importado , Brasil,-
2005,Mayo,Volkswagen , Vento , Automóviles , Subcompactos , Importado , India,-
2005,Mayo,Volkswagen , Virtus , Automóviles , Subcompactos , Importado , Brasil,-
2005,Mayo,Volkswagen , Volkswagen Caddy , Camiones ligeros , Pick Ups , Importado , Polonia,-
2005,Mayo,Volkswagen , Vw Van , Camiones ligeros , Pick Ups , Importado , Argentina,111
2005,Junio,Volkswagen , Amarok , Camiones ligeros , Pick Ups , Importado , Argentina,-
2005,Junio,Volkswagen , Beetle , Automóviles , Compactos , Nacional , México,163
2005,Junio,Volkswagen , Beetle Cabrio , Automóviles , Compactos , Nacional , México,20
2005,Junio,Volkswagen , Bora , Automóviles , Compactos , Nacional , México,1470
2005,Junio,Volkswagen , Bora TDI , Automóviles , Compactos , Nacional , México,-
2005,Junio,Volkswagen , Crafter , Camiones ligeros , Pick Ups , Importado , Alemania,-
2005,Junio,Volkswagen , Crossfox , Automóviles , Subcompactos , Importado , Brasil,-
2005,Junio,Volkswagen , Derby , Automóviles , Subcompactos , Importado , Argentina,897
2005,Junio,Volkswagen , EOS , Automóviles , De Lujo , Importado , Alemania,-
2005,Junio,Volkswagen , Eurovan Carga , Camiones ligeros , SUV's , Importado , Alemania,213
2005,Junio,Volkswagen , Eurovan Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,98
2005,Junio,Volkswagen , Gol , Automóviles , Subcompactos , Importado , Brasil,-
2005,Junio,Volkswagen , Gol Sedan , Automóviles , Subcompactos , Importado , Brasil,-
2005,Junio,Volkswagen , Golf , Automóviles , Compactos , Importado , Brasil,101
2005,Junio,Volkswagen , Golf,Automóviles,Compactos,Nacional,México,-
2005,Junio,Volkswagen , Golf Gti , Automóviles , Deportivos , Importado , Alemania,11
2005,Junio,Volkswagen , Golf Variant, Automóviles ,Compactos,Nacional,México,-
2005,Junio,Volkswagen , Jetta , Automóviles , Compactos , Nacional , México,-
2005,Junio,Volkswagen , Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Junio,Volkswagen , Jetta 4 PTAS , Automóviles , Compactos , Nacional , México,2598
2005,Junio,Volkswagen , Lupo 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,119
2005,Junio,Volkswagen , Lupo 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,566
2005,Junio,Volkswagen , Nuevo Jetta , Automóviles , Compactos , Nacional , México,-
2005,Junio,Volkswagen , Nuevo Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Junio,Volkswagen , Otros Volkswagen , Camiones ligeros , SUV's , Nacional , México,-
2005,Junio,Volkswagen , Passat , Automóviles , De Lujo , Importado , Estados Unidos,65
2005,Junio,Volkswagen , Passat Cc , Automóviles , De Lujo , Importado , Estados Unidos,-
2005,Junio,Volkswagen , Pointer Pick Up , Camiones ligeros , Pick Ups , Importado , Brasil,173
2005,Junio,Volkswagen , Pointer Wagon , Automóviles , Compactos , Importado , Brasil,124
2005,Junio,Volkswagen , Pointer 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,587
2005,Junio,Volkswagen , Pointer 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,2814
2005,Junio,Volkswagen , Polo GTI , Automóviles , Subcompactos , Importado , España,-
2005,Junio,Volkswagen , Polo 4 Ptas , Automóviles , Subcompactos , Importado , India,479
2005,Junio,Volkswagen , Polo 5 Ptas , Automóviles , Subcompactos , Importado , Brasil,41
2005,Junio,Volkswagen , Routan , Camiones ligeros , Minivans , Importado , Canadá,-
2005,Junio,Volkswagen , Saveiro , Camiones ligeros , Pick Ups , Importado , Brasil,-
2005,Junio,Volkswagen , Sedan , Automóviles , Subcompactos , Nacional , México,-
2005,Junio,Volkswagen , Sharan , Camiones ligeros , Minivans , Importado , Portugal,71
2005,Junio,Volkswagen , Sport Van , Automóviles , Compactos , Importado , Argentina,-
2005,Junio,Volkswagen , Sportwagen , Automóviles , Compactos , Nacional , México,-
2005,Junio,Volkswagen , Tcross, Camiones ligeros , SUV's , Importado , Brasil,-
2005,Junio,Volkswagen , Teramont , Camiones ligeros , SUV's , Importado , Estados Unidos,-
2005,Junio,Volkswagen , Tiguan , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Junio,Volkswagen , Tiguan, Camiones ligeros , SUV's , Nacional , México,-
2005,Junio,Volkswagen , Touareg , Camiones ligeros , SUV's , Importado , Eslovaquia,43
2005,Junio,Volkswagen , Transporter Carga , Camiones ligeros , SUV's , Importado , Alemania,-
2005,Junio,Volkswagen , Transporter Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,-
